                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3287,                0.82544,                0.90203,                0.77336,                 0.7602,                0.81024,                0.37296,                 1.7844,                0.94062,                 1.0046,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.3466,                0.84522,                0.89166,                0.84069,                0.72694,                0.81376,                0.38485,                 1.7617,                0.95315,                0.98274,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3717,                0.83395,                0.89853,                0.80963,                0.69435,                0.78926,                0.39199,                 1.7121,                0.98592,                0.98624,               0.009307,               0.009307,               0.009307
                     37,                 1.3377,                0.81176,                0.89324,                0.79332,                0.71939,                0.79975,                0.37578,                 1.8121,                 1.0601,                 1.0048,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.3617,                0.82534,                0.89847,                0.78479,                 0.7398,                0.80403,                0.36956,                 1.8218,                0.98096,                 1.0066,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.3309,                0.80202,                0.88853,                0.83016,                 0.7398,                0.83473,                0.37468,                  1.811,                0.93414,                0.99259,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.3156,                0.80232,                0.89935,                0.75289,                 0.7306,                0.78425,                0.37669,                 1.7673,                0.98826,                0.97842,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.3445,                0.80051,                0.88674,                0.81313,                0.68824,                0.76482,                0.35233,                  1.774,                 1.0168,                0.98957,               0.009208,               0.009208,               0.009208
                     42,                 1.2815,                0.77949,                0.88529,                0.83074,                 0.7398,                0.81599,                0.40515,                 1.8024,                0.90744,                 1.0083,              0.0091882,              0.0091882,              0.0091882
                     43,                  1.309,                0.78055,                0.88785,                0.83003,                0.74744,                0.81601,                0.39749,                  1.731,                0.95688,                0.97904,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.3009,                0.78174,                0.88169,                0.80533,                0.75982,                0.83324,                0.40571,                 1.7173,                 0.8704,                0.97416,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.3086,                0.79072,                0.88802,                0.85317,                0.76531,                0.83756,                0.40569,                 1.7509,                0.89585,                0.98392,              0.0091288,              0.0091288,              0.0091288
