                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0972,                   3.23,                 1.1165,                0.00918,                0.85714,                0.12615,                0.05909,                 1.9791,                  3.369,                 1.0301,                0.07075,                0.00325,                0.00325
                      1,                 1.9424,                 1.9043,                 1.0243,                0.00934,                0.87245,                 0.3424,                0.11234,                 2.0775,                  3.148,                 1.0589,               0.040737,              0.0065703,              0.0065703
                      2,                 1.9724,                 1.6483,                 1.0128,                0.51223,                0.30612,                0.38996,                0.12477,                 2.3874,                 2.4624,                 1.1426,               0.010711,              0.0098774,              0.0098774
                      3,                 1.9654,                 1.5819,                 1.0181,                0.51705,                0.43367,                0.46079,                0.17133,                 2.3441,                 1.7479,                 1.2298,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.8909,                 1.4243,                0.98418,                 0.4859,                0.46429,                0.40518,                0.15011,                 2.3045,                  1.832,                 1.1199,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.8015,                 1.3356,                0.97965,                0.43307,                0.55612,                0.42882,                0.16795,                 2.0853,                 1.5925,                 1.0462,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7537,                 1.2721,                0.96352,                0.61997,                 0.5102,                0.56786,                0.22224,                 2.1083,                 1.4714,                 1.0669,               0.009901,               0.009901,               0.009901
                      7,                 1.7164,                 1.1739,                0.96703,                 0.6729,                0.52551,                0.58081,                 0.2075,                 2.0544,                 1.6331,                 1.0393,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.711,                 1.1778,                0.95639,                0.64082,                0.62755,                 0.6506,                0.26637,                 1.9096,                 1.2948,                   1.01,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6274,                 1.0951,                0.94674,                0.62846,                0.64286,                0.62129,                0.24709,                 2.0017,                 1.3142,                 1.0338,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6066,                 1.1101,                0.94527,                 0.7014,                0.61224,                0.66649,                0.27713,                 1.9538,                 1.2696,                 1.0215,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.5844,                  1.067,                0.94291,                 0.7159,                0.59694,                0.64732,                0.23056,                 2.0858,                 1.3363,                 1.0385,               0.009802,               0.009802,               0.009802
